date;Amazon Shopping;Android System;Calculator;Calendar;Camera;Chrome;Classroom;Clock;Discord;Drive;Files;Gmail;Google;Google News;Google Opinion Rewards;Google Play services;Google Play Store;Instagram;LinkedIn;Maps;Medium;Mi Tigo;Microsoft 365 (Office);Moto App Launcher;Nequi Colombia;Notion;Package installer;Photomath;Photos;Settings;SIATA;SimCity;Spotify;Stellarium;Symbolab;System UI;Tasks;Teams;Telegram;TikTok;Truecaller;Twitter;tyba;Upwork Talent;WhatsApp;YouTube;YouTube Music;Zoom
2022-10-19;0.0;1.0;5.0;3.0;0.0;24.0;5.0;8.0;0.0;11.0;2.0;4.0;0.0;4.0;2.0;1.0;0.0;33.0;0.0;0.0;0.0;0.0;0.0;247.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;0.0;0.0;0.0;0.0;102.0;0.0;0.0;0.0
2022-10-20;0.0;2.0;6.0;0.0;0.0;8.0;0.0;8.0;0.0;3.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;18.0;0.0;2.0;0.0;0.0;0.0;174.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;1.0;0.0;0.0;0.0;82.0;5.0;0.0;0.0
2022-10-21;0.0;0.0;0.0;0.0;0.0;4.0;3.0;4.0;0.0;2.0;0.0;5.0;0.0;0.0;1.0;1.0;1.0;21.0;0.0;1.0;0.0;1.0;0.0;150.0;0.0;0.0;1.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;1.0;0.0;0.0;0.0;61.0;0.0;0.0;0.0
2022-10-22;0.0;5.0;0.0;0.0;0.0;4.0;3.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;1.0;0.0;2.0;50.0;1.0;0.0;0.0;0.0;0.0;239.0;0.0;0.0;2.0;0.0;27.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;0.0;0.0;0.0;168.0;8.0;0.0;0.0
2022-10-23;0.0;1.0;5.0;0.0;0.0;8.0;0.0;5.0;0.0;0.0;0.0;8.0;0.0;0.0;2.0;2.0;1.0;36.0;0.0;1.0;0.0;0.0;0.0;221.0;0.0;0.0;0.0;0.0;5.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;1.0;0.0;0.0;0.0;98.0;7.0;0.0;0.0
2022-10-24;0.0;4.0;12.0;0.0;0.0;31.0;0.0;3.0;0.0;1.0;0.0;3.0;4.0;0.0;1.0;0.0;0.0;52.0;0.0;1.0;0.0;0.0;0.0;354.0;0.0;0.0;0.0;0.0;7.0;29.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;30.0;0.0;0.0;0.0;175.0;4.0;0.0;0.0
2022-10-25;0.0;0.0;2.0;0.0;0.0;8.0;2.0;0.0;0.0;0.0;0.0;2.0;4.0;1.0;2.0;0.0;3.0;35.0;0.0;0.0;0.0;0.0;0.0;204.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.0;0.0;0.0;0.0;0.0;117.0;0.0;0.0;0.0
2022-10-26;0.0;0.0;4.0;6.0;0.0;24.0;2.0;7.0;0.0;7.0;1.0;8.0;5.0;0.0;0.0;1.0;4.0;18.0;0.0;0.0;0.0;0.0;0.0;288.0;0.0;0.0;2.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;7.0;2.0;0.0;0.0;0.0;146.0;12.0;0.0;0.0
2022-10-27;0.0;1.0;19.0;1.0;0.0;30.0;2.0;7.0;0.0;0.0;3.0;3.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;157.0;0.0;0.0;0.0;0.0;2.0;5.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;71.0;12.0;0.0;0.0
2022-10-28;0.0;1.0;1.0;0.0;0.0;15.0;5.0;3.0;0.0;7.0;0.0;4.0;2.0;1.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;197.0;0.0;0.0;1.0;0.0;3.0;3.0;0.0;0.0;20.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;15.0;0.0;0.0
